,base_lat,base_lon,predicted_lat,predicted_lon
784,52.377295000000004,16.8733901,52.3787407,16.874566100000006
785,52.44930600000001,16.891486899999997,52.44928670000001,16.8915002
786,52.4108457,16.860295899999997,52.4108457,16.860295899999997
787,52.359496,17.007634,52.3594824,17.0075987
788,52.34964590000001,16.8250087,54.228037,19.555338
789,49.54616160000001,8.6609189,49.54615915,8.660946524264435
790,50.023399100000006,19.9185925,50.02338380000001,19.918576964919488
791,52.44696070000001,16.9501807,52.446931000000006,16.950180976381677
792,52.17156199999999,21.0221837,52.1715645,21.022188058853573
793,53.13286,23.1572909,53.1327988,23.1573533
794,54.586216799999995,18.4159935,54.58605075,18.415827165301003
795,52.18625120000001,20.8981714,52.302557,20.9868436
796,49.957570600000004,18.9631848,49.95710815,18.96236420378072
797,50.261627000000004,19.1408579,50.26175225,19.14082139402985
798,51.73623189999999,19.432419699999997,51.7364767,19.4329139
799,53.128747600000004,23.160553699999998,53.12855435,23.160183089405304
800,50.072003,19.911158,50.0720201,19.91121805
801,50.097281,19.871126999999998,50.0972634,19.871183957852303
802,52.4066961,17.0282853,52.406733,17.0284147
803,52.22283359999999,21.012944100000002,52.2299993,20.9578418
804,52.4085466,16.886842,52.40854635,16.886842579216868
805,52.364357500000004,16.8180853,52.3643,16.81805
806,50.06690250000001,19.914279999999998,51.1383259,16.893363600000004
807,51.75172389999999,19.4585789,51.75168065,19.45856400367057
808,50.042874299999994,19.93016,50.0429602,19.9306935
809,51.737856,19.513152899999998,51.7377749,19.5129254
810,50.024438599999996,19.9051581,50.0240704,19.9051043
811,50.2602071,19.0365783,50.261016,19.036156
812,50.911068900000004,17.256728,50.90131515,17.324122999640856
813,52.289685799999994,17.8679674,52.290494,17.874047
814,50.29135609999999,19.014958,50.260489,19.015859
815,52.1980787,21.034797,52.19803105,21.0348264
816,50.260366299999994,19.0447668,50.26046895,19.04531694521605
817,52.28787579999999,17.8586671,52.2879,17.85865
818,50.06777899999999,19.930538600000002,50.0678399,19.9305884
819,52.427814,16.936438,52.42779470000001,16.936572441298534
820,50.04550620000001,21.9704625,50.045265,21.970422
821,50.04372189999999,19.967506,50.04426475,19.96596476886979
822,51.742996999999995,19.334564999999998,51.7429278,19.334552292522787
823,52.21131870000001,20.955731999999987,,
824,51.780945700000004,19.5105537,51.78091115,19.51065496446736
825,52.3755574,16.980251899999995,52.3778676,16.976658800000006
826,52.205593799999995,21.049902399999997,52.205789,21.050353
827,50.80918270000001,16.281523999999994,50.8091078,16.281397836723553
828,52.246035000000006,20.9529496,52.246038,20.952999
829,50.08420200000001,19.963741100000004,50.0844172,19.9632329
830,52.25126299999999,21.0643723,52.250977,21.064152
831,52.3736998,16.9005885,52.3737579,16.89990437403247
832,52.29890229999999,20.978513,52.298896,20.978771
833,50.059281299999995,19.979494600000002,50.05928135,19.979494562899724
834,52.2390369,20.964108,52.239234,20.964139000000007
835,50.07862799999999,19.879166100000006,50.078638,19.879323
836,50.04498270000001,19.9308622,50.04497429999999,19.930878202777787
837,52.449858,16.9264331,52.44988960000001,16.9265402
